,imm,imm1,imm2,imm_gen,ethnicity,gender,agr1,con1,ext1,ope1,sta1,agr2,con2,ext2,ope2,sta2,agr3,con3,ext3,ope3,sta3
1,0,0,0,3,1,0,0.578882037,1.021519911,0.421403729,1.306890539,1.071310911,-0.184527801,1.724202076,1.055063457,1.197705156,1.477520873,0.083070543,1.726912113,0.567215136,0.825898714,1.182313962
2,0,0,0,3,1,0,1.233231301,1.377648003,0.551399868,1.067447888,0.296603463,1.204109001,0.682468082,0.164195877,1.295213848,-0.552429587,1.711680728,1.638022059,0.303306708,1.736398594,0.199235842
3,0,0,0,3,1,0,-0.016897812,-0.389920089,0.554524583,0.436266243,0.146191019,0.734819759,-0.125250843,1.169400576,0.856014766,0.976381408,0.509928717,-0.6711974,0.976355968,1.169049105,1.139538059
4,0,0,0,3,1,0,0.023545847,-0.292579431,-0.940680583,0.245232858,-0.700656895,0.18587763,-0.849058905,-0.962815259,0.04241714,-1.025485918,-0.143705179,-0.626904038,-0.902554654,-0.207402039,-1.223899261
5,0,0,0,3,1,0,1.07852926,0.259358928,-0.088505426,0.689782691,0.937437216,0.166712709,0.043127797,-1.096139296,-0.16235566,0.10187817,0.581518854,0.782838743,-0.15327799,0.150727139,0.17570119
6,0,0,0,3,1,0,0.700321105,1.122682337,1.289967969,1.098187591,1.026070668,-0.253683603,0.767354146,1.013728952,0.711356295,0.585472272,-0.063577643,0.357290163,0.247201998,0.49632779,0.063733521
7,0,0,0,3,1,0,1.142773765,1.783098539,-0.132536689,1.450691437,0.516815217,0.376419637,0.61668467,-0.71607534,0.787145867,-0.420243751,0.378050478,1.619280772,-0.421485349,1.024981014,-0.196323903
8,0,0,0,3,1,0,1.267435438,1.220719916,1.166964473,2.038476039,1.115177085,0.431771297,0.463840223,0.907158664,0.990191273,0.837262017,0.020747203,-0.012795076,0.639837565,1.046133413,0.359381894
9,0,0,0,3,1,0,1.327396528,0.514642554,1.310357571,1.425490206,0.976716349,0.436703424,0.130147589,0.8629334,0.684000374,0.406313961,1.11022393,0.455474666,1.310993322,1.557748241,1.074562018
10,0,0,0,3,1,0,0.140549044,0.379335673,0.753488225,1.247665239,-0.049535477,0.238401445,-0.133655077,0.914501719,1.183647936,0.194003227,0.211112202,-0.67442385,0.351877336,1.366399185,-0.072547906
11,0,0,0,3,1,0,1.199664337,1.001858905,1.203582911,1.558035067,1.094005894,0.203427221,1.131430279,1.294247894,1.111134002,1.002225744,0.367102841,0.847508948,0.857754969,1.108158215,0.835747927
12,0,0,0,3,1,0,0.389953102,0.587865626,0.34425334,0.581731929,0.188964447,-0.067233597,0.643110376,0.337103811,0.27541423,0.088252253,0.198513795,0.622847769,0.215099326,0.552938507,0.055744606
13,0,0,0,3,1,0,-0.039829187,0.175542139,0.121526527,-0.036801392,-0.885602706,-0.239582434,-0.755610042,-0.57568975,-0.302732743,-1.742042122,-0.170183258,-0.432950798,-0.586780078,0.067820628,-1.318890896
14,0,0,0,3,1,0,-1.201402278,-0.858584952,-1.227949459,0.644548341,-0.622488885,-0.947789522,-0.414654428,-0.788214516,0.553529464,0.068737479,0.124714015,1.06030549,0.09767425,1.304901139,0.961052342
15,0,0,0,3,1,0,-0.752956299,-0.543891988,-0.767875546,-0.667773275,-0.531934572,-1.039343392,-0.611371507,-0.920719494,-1.158994744,-0.852340849,-0.82500096,-0.312585364,-1.254474124,-0.983529145,-0.722345302
16,0,0,0,3,1,0,1.32294663,1.428586169,0.727357277,1.215943094,1.100687959,1.487324574,1.620022836,1.39927991,1.834922327,1.690664495,0.416541191,1.506082063,1.196418436,1.338902896,1.205174612
