,imm,imm1,imm2,imm_gen,ethnicity,gender,agr1,con1,ext1,ope1,sta1,agr2,con2,ext2,ope2,sta2,agr3,con3,ext3,ope3,sta3
1,0,0,0,3,1,1,-1.097676024,-1.301271048,-0.02823777,-0.040461777,-0.421529606,0.322082409,-0.241924956,1.020878505,0.874456328,0.180739155,-1.067927684,-1.308589556,0.573687772,-0.067766992,-0.141021193
2,0,0,0,3,1,1,1.578180879,1.804357151,0.516170621,1.618481301,1.029606916,1.492451332,1.415427679,-0.384449898,1.305428967,0.577127989,1.371475004,1.84445997,0.607956703,1.517561978,0.870797728
3,0,0,0,3,1,1,0.472373783,0.120916202,-0.637737268,-0.386622533,-1.02926586,0.173542648,-0.365027399,-0.671358405,-0.719553314,-0.741732576,-0.34817616,-0.861353333,-1.64327134,-1.378585507,-1.000238173
4,0,0,0,3,1,1,0.264605802,0.273346883,0.37852041,0.252515712,-0.317757246,0.279427667,0.576783858,0.78598441,0.711534869,-0.311555427,0.213496095,0.501281131,0.650368201,0.475312244,-0.633987232
5,0,0,0,3,1,1,1.055183724,0.409224774,0.775244032,0.850662214,0.410734437,0.505918027,0.272940796,-0.464530732,0.408635214,-1.264095731,0.839449632,0.778924148,-0.793779828,0.683193703,-1.05982027
6,0,0,0,3,1,1,-0.161577471,0.254031269,-0.550362395,0.633666771,0.615256343,-0.64208393,0.441423066,0.532763581,0.730430663,0.983466073,-0.061201385,0.174009946,0.130305745,1.022078323,0.371920836
7,0,0,0,3,1,1,0.154153931,1.211904383,0.590343577,0.942910132,1.315886981,0.42774294,0.960076356,-0.183722961,0.867435416,0.997791081,-0.25954716,0.687504219,-1.059828473,0.555539987,0.651153144
8,0,0,0,3,1,1,1.173556983,1.016658265,-0.754791313,0.877800606,-0.537586486,0.853512679,0.577777165,-0.856215641,0.566617163,-0.519682613,0.83503434,0.916239162,-0.59353208,0.505546408,-0.239714191
9,0,0,0,3,1,1,0.858074061,0.725336426,0.925262606,0.432029243,0.912349587,-0.052128132,-0.19817623,0.211873585,-0.370136586,-0.204732364,-0.013484823,0.087213336,0.070605128,-0.166525108,-0.308484105
10,0,0,0,3,1,1,0.271399388,0.450231443,0.144458246,1.315608737,0.939839643,-0.209002728,0.27021896,-0.184344085,0.814396891,0.381865686,-0.17997679,0.148463944,-0.861886092,0.90534805,0.710588633
11,0,0,0,3,1,1,0.386775393,0.214100974,-0.62054065,0.754958549,-0.213024474,0.273443506,0.616206736,-0.553245858,0.883266893,-0.010532218,-0.044001753,0.348453404,-0.69683282,0.599646149,-0.073147975
12,0,0,0,3,1,1,0.835261649,1.025241859,1.052209117,1.490380514,1.036305334,0.333368547,0.613683791,0.892686618,1.004376807,0.561202596,0.707337002,0.102142929,0.76865944,1.040067775,0.254487812
13,0,0,0,3,1,1,0.287837479,-0.018933968,0.826272985,1.010165766,-0.226798215,-0.412485187,-0.428897705,0.317516646,0.72355306,-1.297119148,0.251854328,0.172829647,0.313302124,0.931655626,-1.311330627
14,0,0,0,3,1,1,0.815260357,0.117291214,-2.370919915,-0.227452442,-2.748404878,0.699242581,0.069900935,-2.348278306,-0.159478328,-2.59268016,0.313325917,1.043804484,-0.509351621,-0.491062289,-1.401665941
15,0,0,0,3,1,1,-0.151479642,-0.578930816,0.546001067,0.302807911,0.202479086,0.67668327,0.26912482,0.649053232,1.06858771,0.403564009,0.627697664,0.210472274,0.732071817,1.140287174,0.343588323
16,0,0,0,3,1,1,-0.484178604,0.629539188,0.696237155,0.563971091,0.756658187,-0.18321552,-0.27630215,0.084644065,0.400152728,0.173186407,-0.376256928,-0.170164316,0.088238239,0.307638461,-0.196332184
17,0,0,0,3,1,1,0.016584734,0.418117469,0.845523209,0.653488029,0.759579423,-0.442810552,-0.019951401,0.168837452,0.170787049,-0.300806337,-1.496645514,-0.953380329,-1.456242877,-0.740727694,-1.62792762
18,0,0,0,3,1,1,0.060297164,0.765135574,0.74022502,1.138927124,0.530804762,0.09751802,0.546615012,0.914607845,1.166991365,0.553312213,-0.788028143,-0.506426646,-0.469933995,0.236507827,-0.760630235
19,0,0,0,3,1,1,0.894685758,-0.765902263,-2.104266055,-0.018688602,-1.466633141,1.130999541,0.863493259,0.304364074,0.761698201,-0.036839285,1.145143834,-0.17415919,-0.741561597,0.408078194,-0.427649583
20,0,0,0,3,1,1,0.114709023,0.722828593,0.112442168,0.714805912,0.130750575,-0.250414003,0.132356124,0.113437069,0.512058104,-0.29548041,-0.291173063,0.106989578,-0.131739911,0.333825032,-0.522429391
21,0,0,0,3,1,1,0.319947179,-0.47308164,0.722330683,0.203755127,0.493403213,0.090418833,-1.093070811,0.527909139,-0.246931535,0.113187382,-0.209882901,-0.662635179,0.405441513,-0.032161281,0.685994664
22,0,0,0,3,1,1,1.05498818,0.446877819,0.037086558,1.716648233,0.625669823,-0.848761076,0.20188401,-1.257515057,0.368130878,-1.241236814,-1.912656342,-0.958112164,-2.838630974,-0.620714442,-2.619110135
23,0,0,0,3,1,1,1.143833641,0.469884584,-0.038584981,0.206037082,-0.899667216,1.457166378,0.400728711,0.651062675,0.61396743,-0.633148393,1.036674188,1.358976016,1.044641501,0.573988395,-0.179610868
